time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-29T04:15:23.218Z,54.6722,170.7466,10,4.6,mb,,53,2.785,0.97,us,us7000gak3,2022-03-05T23:11:07.040Z,"259 km NW of Attu Station, Alaska",earthquake,8.5,1.9,0.129,18,reviewed,us,us
2021-12-29T04:13:10.948Z,54.6143,170.8653,10,4.8,mb,,47,2.695,0.99,us,us6000gg0n,2022-03-05T23:10:50.040Z,"249 km NW of Attu Station, Alaska",earthquake,7.7,1.9,0.039,202,reviewed,us,us
2021-12-29T03:57:32.869Z,54.622,170.6514,10,5.6,mww,,21,2.792,1.05,us,us6000gg09,2022-03-05T23:10:50.040Z,"258 km NW of Attu Station, Alaska",earthquake,6.6,1.7,0.039,64,reviewed,us,us
2021-12-29T03:23:18.302Z,52.4714,-169.5974,35,4.2,mb,,139,1.29,1.02,us,us6000gg00,2022-03-05T23:10:50.040Z,"71 km SW of Nikolski, Alaska",earthquake,6.7,1.9,0.058,85,reviewed,us,us
2021-12-29T02:05:08.962Z,54.6596,-159.7183,27.4,2.3,ml,,,,0.49,ak,ak021godaxqo,2022-01-28T18:15:38.167Z,"90 km SSE of Sand Point, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2021-12-29T00:56:55.994Z,58.4512,-143.0928,7.3,2.1,ml,,,,0.7,ak,ak021gocf3kw,2022-01-29T02:59:35.636Z,"228 km WSW of Yakutat, Alaska",earthquake,,2.9,,,reviewed,ak,ak
2021-12-29T00:47:30.540Z,52.4231,-175.7579,189.21,3.4,ml,,188,0.379,0.54,us,us7000gfyz,2022-03-05T23:11:15.040Z,"85 km NE of Adak, Alaska",earthquake,9.7,10.6,0.105,12,reviewed,us,us
2021-12-29T00:09:05.044Z,58.6811,-143.3001,2.6,2,ml,,,,0.29,ak,ak021goc4wzo,2022-01-29T02:59:35.358Z,"226 km WSW of Yakutat, Alaska",earthquake,,1,,,reviewed,ak,ak
2021-12-28T21:43:18.135Z,59.5175,-152.5386,70.9,2.2,ml,,,,0.49,ak,ak021gn1azn3,2022-03-05T23:10:49.040Z,"39 km WNW of Nanwalek, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2021-12-28T17:18:45.829Z,58.7334,-139.0412,0.8,2,ml,,,,0.66,ak,ak021gmyryh2,2022-01-24T16:20:04.334Z,"98 km SSE of Yakutat, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2021-12-28T15:43:06.224Z,52.0113,-172.8935,12.7,2.1,ml,,,,0.47,ak,ak021gmxqd3y,2022-01-24T16:20:03.801Z,"91 km ESE of Atka, Alaska",earthquake,,1.2,,,reviewed,ak,ak
