time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-22T11:50:04.850Z,40.172,-121.4915,14.8,2.43,md,28,73,0.2756,0.17,nc,nc73667621,2021-12-23T07:48:34.467Z,"21km SSE of Mineral, CA",earthquake,0.47,0.79,0.198,25,reviewed,nc,nc
2021-12-21T22:47:48.930Z,35.519,-118.3801667,6.61,2.4,ml,59,28,0.1773,0.15,ci,ci39892927,2021-12-21T23:20:22.906Z,"13km SE of Bodfish, CA",earthquake,0.12,0.55,0.228,28,reviewed,ci,ci
2021-12-21T22:38:59.560Z,37.0171667,-119.8171667,-0.39,2.12,md,8,143,0.09047,0.03,nc,nc73667396,2022-05-27T19:27:40.125Z,"6km NE of Bonadelle Ranchos-Madera Ranchos, CA",quarry blast,0.74,31.61,0.282,33,reviewed,nc,nc
2021-12-21T11:16:51.880Z,38.4526667,-119.4821667,6.21,2.05,md,18,72,0.06187,0.09,nc,nc73667036,2021-12-29T06:51:11.629Z,"7km S of Walker, CA",earthquake,0.23,0.43,0.246,28,reviewed,nc,nc
2021-12-21T09:01:05.870Z,36.2616667,-120.3856667,8.96,2.11,md,38,88,0.07353,0.1,nc,nc73666961,2021-12-30T03:56:10.864Z,"14km N of Coalinga, CA",earthquake,0.27,0.62,0.177,29,reviewed,nc,nc
2021-12-20T14:21:59.010Z,35.6128333,-120.72,7.64,2.19,md,55,39,0.05674,0.1,nc,nc73666126,2021-12-29T00:26:11.163Z,"4km WSW of Paso Robles, CA",earthquake,0.16,0.38,0.131,46,reviewed,nc,nc
2021-12-20T06:02:34.420Z,37.6268333,-122.487,7.51,2.01,md,65,113,0.05238,0.06,nc,nc73666026,2021-12-28T23:30:11.902Z,"1km N of Pacifica, CA",earthquake,0.18,0.26,0.153,57,reviewed,nc,nc
2021-12-20T00:04:24.477Z,38.9512,-118.796,5.3,2.2,ml,34,63.04,0.348,0.1561,nn,nn00830216,2021-12-21T02:38:51.443Z,"1 km E of Schurz, Nevada",earthquake,,1.3,0.2,15,reviewed,nn,nn
2021-12-19T10:58:32.300Z,37.5941667,-118.4316667,7.39,2.33,md,29,54,0.08351,0.05,nc,nc73665711,2021-12-20T19:00:00.103Z,"22km E of Toms Place, CA",earthquake,0.29,0.68,0.143,33,reviewed,nc,nc
2021-12-18T16:23:21.604Z,38.1822,-117.9599,2.3,2,ml,17,107.47,0.026,0.1582,nn,nn00830170,2021-12-20T17:57:36.460Z,"26 km SSE of Mina, Nevada",earthquake,,1,0.86,5,reviewed,nn,nn
