time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-03T11:38:05.370Z,-14.1785,-77.025,12.98,4.5,mb,,144,2.185,0.66,us,us6000g8pn,2022-02-12T23:05:43.040Z,"88 km WSW of Paracas, Peru",earthquake,9.6,1.6,0.072,56,reviewed,us,us
2021-12-02T23:31:27.863Z,-16.5294,-74.7465,10,4.1,mb,,155,4.951,0.54,us,us6000g8ky,2022-02-05T23:03:54.040Z,"90 km SSW of Atiquipa, Peru",earthquake,11.2,2,0.262,4,reviewed,us,us
2021-12-02T13:50:25.864Z,-27.6183,-69.1217,118.87,4.4,mb,,45,0.779,0.8,us,us6000g8g3,2022-02-05T23:03:50.040Z,"122 km ESE of Copiapó, Chile",earthquake,7.5,3.6,0.191,8,reviewed,us,us
2021-12-01T18:25:41.757Z,-19.2721,-69.2397,118.95,4.7,mwr,,83,0.396,1.02,us,us6000g895,2022-02-05T23:03:44.040Z,"141 km NE of Iquique, Chile",earthquake,5.2,3.6,,,reviewed,us,guc
2021-12-01T04:49:10.209Z,-37.9149,-73.6883,16,4.5,mb,,153,1.23,0.52,us,us6000g837,2022-02-05T23:03:38.040Z,"28 km WSW of Cañete, Chile",earthquake,5.7,4.6,0.136,16,reviewed,us,us
2021-12-01T04:39:25.069Z,-37.9155,-73.6133,15.68,5.1,mww,,30,1.213,0.59,us,us6000g836,2022-02-05T23:03:37.040Z,"22 km WSW of Cañete, Chile",earthquake,4.1,2.6,0.047,43,reviewed,us,us
2021-11-30T11:14:42.258Z,-24.7375,-69.5427,114.75,4.2,mb,,67,0.791,0.53,us,us6000g7vh,2022-02-05T23:03:30.040Z,"120 km NE of Taltal, Chile",earthquake,5.9,6.8,0.152,12,reviewed,us,us
2021-11-30T01:13:19.304Z,-22.4713,-69.482,89.33,4.3,mb,,89,0.247,0.65,us,us6000g7sc,2022-02-05T23:03:27.040Z,"57 km W of Calama, Chile",earthquake,4,3.6,0.148,13,reviewed,us,us
2021-11-29T11:35:35.344Z,-20.351,-70.2971,46.39,2.6,ml,,181,0.239,0.28,us,us6000g83v,2022-02-05T23:03:38.040Z,"21 km SW of Iquique, Chile",earthquake,3.6,6.9,0.074,24,reviewed,us,us
2021-11-28T10:52:14.579Z,-4.4667,-76.8126,126,7.5,mww,,40,4.951,0.61,us,us7000fxq2,2022-08-08T00:53:08.589Z,"43 km NNW of Barranca, Peru",earthquake,4.9,1.9,0.033,87,reviewed,us,us
2021-11-28T09:37:17.485Z,-32.3764,-71.9183,21.1,4,mwr,,134,0.683,0.78,us,us7000fxpj,2022-08-06T18:34:28.925Z,"65 km W of La Ligua, Chile",earthquake,2.7,5.8,0.043,53,reviewed,us,us
2021-11-28T08:43:47.044Z,-16.9152,-69.2523,200.09,4.1,mb,,112,0.705,0.54,us,us7000fxp5,2022-02-05T23:04:26.040Z,"44 km SSW of Desaguadero, Peru",earthquake,8.2,5.1,0.235,6,reviewed,us,us
2021-11-28T06:32:30.797Z,-12.0155,-77.4324,61.65,5.1,mb,,130,0.578,0.6,us,us7000fxna,2022-02-05T23:04:25.040Z,"34 km W of Callao, Peru",earthquake,6.6,4.9,0.027,449,reviewed,us,us
2021-11-28T00:37:37.395Z,-38.8467,-73.6698,30.9,4.2,mb,,140,1.049,0.49,us,us7000fxl3,2022-02-05T23:04:22.040Z,"46 km WSW of Carahue, Chile",earthquake,3.8,8,0.236,5,reviewed,us,us
2021-11-27T22:44:48.055Z,-27.8293,-71.0976,33.06,4.8,mwr,,70,0.374,0.79,us,us7000fxkd,2022-08-06T18:36:40.659Z,"89 km NNW of Vallenar, Chile",earthquake,4.9,3.7,0.034,82,reviewed,us,us
2021-11-27T20:40:05.645Z,-36.3264,-71.2306,131.33,4.1,mb,,103,0.338,0.78,us,us7000fxjw,2022-02-05T23:04:21.040Z,"57 km SE of Longaví, Chile",earthquake,7.2,1.9,0.233,6,reviewed,us,us
2021-11-27T19:31:57.017Z,-38.831,-73.5269,21.82,4.4,mwr,,127,1.05,0.59,us,us7000fxjr,2022-02-05T23:04:21.040Z,"34 km WSW of Carahue, Chile",earthquake,3.9,4.8,0.065,23,reviewed,us,us
2021-11-27T19:28:59.045Z,-38.8144,-73.5576,26.4,4.6,mwr,,127,1.069,0.72,us,us7000fxji,2022-08-06T18:36:14.215Z,"36 km WSW of Carahue, Chile",earthquake,5,4.2,0.047,44,reviewed,us,us
2021-11-27T07:15:41.145Z,-15.1141,-75.7679,34.13,4.3,mb,,149,3.278,0.46,us,us6000g8ep,2022-02-05T23:03:48.040Z,"70 km WNW of San Juan, Peru",earthquake,10.4,6.9,0.153,12,reviewed,us,us
2021-11-27T04:06:06.131Z,-22.1747,-68.7834,125.31,4.4,mb,,36,0.9,0.7,us,us7000fxea,2022-02-05T23:04:17.040Z,"34 km NNE of Calama, Chile",earthquake,6.2,7.1,0.156,13,reviewed,us,us
2021-11-27T01:46:45.860Z,-14.8845,-71.9912,102.42,4.2,mb,,123,3.612,1.02,us,us7000fxdg,2022-02-05T23:04:16.040Z,"23 km S of Cayarani, Peru",earthquake,5.4,13.9,0.167,11,reviewed,us,us
2021-11-26T21:48:34.865Z,-6.645,-75.8614,105,5.1,mb,,68,3.312,0.67,us,us7000fxc8,2022-02-05T23:04:15.040Z,"31 km ESE of Chazuta, Peru",earthquake,8.1,5.4,0.024,556,reviewed,us,us
2021-11-25T03:18:30.863Z,-32.72,-70.1864,112.84,4,mb,,109,0.31,0.43,us,us7000fwxm,2022-01-29T22:55:53.040Z,"40 km ENE of Los Andes, Chile",earthquake,2.7,8.1,0.298,3,reviewed,us,us
2021-11-25T02:54:58.183Z,-12.0607,-75.3962,89.17,4.1,mb,,111,1.416,0.96,us,us7000fwxh,2022-01-29T22:55:53.040Z,"4 km SSW of Chambara, Peru",earthquake,4.7,10.2,0.175,9,reviewed,us,us
2021-11-24T23:14:32.302Z,-20.5693,-69.0742,95.1,4.6,mwr,,49,0.432,0.98,us,us7000fwwk,2022-01-29T22:55:51.040Z,"119 km ESE of Iquique, Chile",earthquake,4.8,3.8,0.051,37,reviewed,us,us
2021-11-24T22:03:08.751Z,-36.4867,-73.755,11.91,4.3,mwr,,111,0.523,0.64,us,us7000fww8,2022-01-29T22:55:50.040Z,"62 km WNW of Talcahuano, Chile",earthquake,5.1,4.4,0.04,59,reviewed,us,us
2021-11-24T21:53:37.713Z,-31.9409,-71.5512,44.05,4.4,mb,,135,0.5,0.59,us,us7000fww2,2022-01-29T22:55:50.040Z,"49 km SW of Illapel, Chile",earthquake,2,7,0.161,11,reviewed,us,us
2021-11-23T03:49:28.909Z,-21.4013,-68.8452,119.16,4.2,mb,,44,0.697,0.58,us,us7000fwcr,2022-01-29T22:55:27.040Z,"117 km N of Calama, Chile",earthquake,5.6,6.5,0.146,13,reviewed,us,us
2021-11-22T15:58:22.637Z,-29.9358,-68.7747,10,4.4,mb,,71,1.145,1.01,us,us7000fw7m,2022-01-29T22:55:23.040Z,"33 km N of San José de Jáchal, Argentina",earthquake,5.3,1.8,0.13,18,reviewed,us,us
2021-11-22T13:37:11.522Z,-23.2103,-69.119,87.03,4.2,mb,,106,0.323,0.3,us,us7000fw6z,2022-01-29T22:55:22.040Z,"85 km SSW of Calama, Chile",earthquake,5.6,6.3,0.235,6,reviewed,us,us
2021-11-21T22:22:16.410Z,-16.9424,-72.0758,62.88,4.6,mb,,136,2.179,0.39,us,us7000fw19,2022-01-29T22:55:17.040Z,"6 km NNE of Islay (Matarani), Peru",earthquake,8.3,7.1,0.083,43,reviewed,us,us
2021-11-21T11:50:57.907Z,-23.9048,-70.7464,30.23,4.7,mwr,,109,0.427,0.67,us,us7000fvy7,2022-01-29T22:55:15.040Z,"45 km SW of Antofagasta, Chile",earthquake,6.5,5.3,0.044,49,reviewed,us,us
2021-11-21T10:57:24.922Z,-6.9787,-76.0132,119.05,4.5,mb,,129,3.365,0.41,us,us7000fvxw,2022-01-29T22:55:15.040Z,"35 km E of Picota, Peru",earthquake,8.6,6.9,0.066,68,reviewed,us,us
2021-11-21T10:46:06.328Z,-21.205,-68.9033,117.48,4,mb,,44,0.568,0.42,us,us7000fvxm,2022-01-29T22:55:14.040Z,"138 km N of Calama, Chile",earthquake,5.5,8.1,0.196,7,reviewed,us,us
2021-11-21T08:09:09.955Z,-10.5542,-74.9887,113.95,4.6,mb,,90,2.309,0.56,us,us7000fx13,2022-01-29T22:55:57.040Z,"36 km ENE of Villa Rica, Peru",earthquake,8.5,8,0.074,54,reviewed,us,us
2021-11-19T04:20:20.208Z,-20.2944,-70.3835,39.26,3.1,ml,,178,0.33,0.71,us,us7000fvcu,2022-01-29T22:54:57.040Z,"25 km WSW of Iquique, Chile",earthquake,2.7,11.7,0.066,30,reviewed,us,us
2021-11-19T01:19:29.970Z,-24.7032,-68.84,98.32,4.3,mb,,69,1.424,0.97,us,us7000fvbv,2022-01-29T22:54:56.040Z,"183 km ENE of Taltal, Chile",earthquake,7.1,7.2,0.161,11,reviewed,us,us
2021-11-18T14:10:05.198Z,-20.9219,-68.7756,115.26,4.6,mwr,,65,0.676,1.01,us,us7000fv36,2022-01-22T20:52:02.040Z,"163 km ESE of Iquique, Chile",earthquake,5.5,6.2,,,reviewed,us,guc
2021-11-18T04:26:07.262Z,-34.9774,-71.0514,90.45,4.2,mb,,67,0.288,0.39,us,us7000fuzv,2022-01-22T20:52:01.040Z,"15 km SE of Teno, Chile",earthquake,3.8,5.5,0.236,5,reviewed,us,us
2021-11-18T01:09:40.958Z,-31.2685,-69.0364,106.72,4.5,mb,,47,0.408,0.65,us,us7000fuz1,2022-01-22T20:52:00.040Z,"37 km ENE of Calingasta, Argentina",earthquake,5.8,5.4,0.14,15,reviewed,us,us
2021-11-17T23:32:18.471Z,-23.8948,-69.4135,88.46,4.1,mb,,79,0.685,1.01,us,us7000fuyh,2022-01-22T20:52:00.040Z,"103 km ESE of Antofagasta, Chile",earthquake,3.5,8.4,0.3,3,reviewed,us,us
2021-11-16T17:05:16.603Z,-36.8458,-74.1843,9.23,4.1,mb,,164,0.803,0.58,us,us7000fuku,2022-01-22T20:51:56.040Z,"88 km WNW of Arauco, Chile",earthquake,5.5,6.9,0.235,5,reviewed,us,us
2021-11-15T22:31:01.856Z,-21.9625,-68.8394,118.89,4.3,mb,,39,0.852,0.75,us,us7000fufb,2022-01-22T20:51:54.040Z,"55 km N of Calama, Chile",earthquake,5.1,4.3,0.147,13,reviewed,us,us
2021-11-15T15:53:33.704Z,-43.1525,-82.1629,10,4.4,mb,,146,7.325,0.56,us,us7000fubr,2022-01-22T20:51:54.040Z,"West Chile Rise",earthquake,11.5,1.9,0.179,11,reviewed,us,us
2021-11-15T01:03:35.580Z,-37.5587,-73.7581,15.29,4.5,mwr,,120,0.927,0.94,us,us7000fu58,2022-01-22T20:51:52.040Z,"10 km WNW of Lebu, Chile",earthquake,4.3,3.6,0.051,37,reviewed,us,us
2021-11-12T20:41:31.574Z,-16.1904,-74.5342,11.5,4.9,mb,,131,4.554,0.92,us,us7000ftnk,2022-01-22T20:51:47.040Z,"47 km SSW of Atiquipa, Peru",earthquake,8.7,3.8,0.062,86,reviewed,us,us
2021-11-12T17:33:15.742Z,-20.9672,-70.3015,41.85,3.9,ml,,174,0.201,0.86,us,us7000ftmc,2022-01-22T20:51:47.040Z,"84 km S of Iquique, Chile",earthquake,4.8,27.1,0.059,38,reviewed,us,us
2021-11-11T09:00:06.965Z,-39.3023,-75.1724,10,4.3,mb,,147,1.467,1.37,us,us7000ft65,2022-01-15T20:51:47.040Z,"163 km WNW of Corral, Chile",earthquake,3.7,1.9,0.168,10,reviewed,us,us
2021-11-11T04:33:17.449Z,-14.185,-72.8726,84.72,4.2,mb,,122,4.441,0.63,us,us7000ft4t,2022-01-15T20:51:47.040Z,"16 km ENE of Pachaconas, Peru",earthquake,5.9,15.1,0.153,12,reviewed,us,us
2021-11-10T13:53:49.908Z,-25.9112,-70.8715,20.72,4,mb,,155,0.34,0.53,us,us7000fsz6,2022-01-15T20:51:45.040Z,"67 km SW of Taltal, Chile",earthquake,1.8,7.1,0.299,3,reviewed,us,us
2021-11-10T06:51:46.962Z,-32.8423,-71.2764,61.36,4.3,mwr,,60,0.36,0.85,us,us7000fswl,2022-01-15T20:51:44.040Z,"5 km NNW of Quillota, Chile",earthquake,3.4,4.1,0.054,33,reviewed,us,us
2021-11-10T05:48:24.136Z,-25.5342,-69.3148,89.16,4.3,mwr,,70,1.306,1.25,us,us7000fsw7,2022-01-15T20:51:44.040Z,"118 km NE of Diego de Almagro, Chile",earthquake,4.7,6,,,reviewed,us,guc
2021-11-09T14:45:33.264Z,-19.6714,-69.5008,102.43,4,mb,,85,0.171,0.4,us,us7000fspy,2022-01-15T20:51:43.040Z,"90 km NE of Iquique, Chile",earthquake,5,4,0.164,10,reviewed,us,us
2021-11-09T02:59:49.857Z,-38.4005,-72.3864,60.49,4.3,mb,,123,1.23,0.57,us,us7000fsje,2022-01-15T20:51:42.040Z,"15 km NNE of Lautaro, Chile",earthquake,6.1,3.5,0.238,5,reviewed,us,us
2021-11-08T10:06:02.368Z,-35.5095,-71.3732,97.08,4.2,mb,,55,0.255,0.56,us,us7000fsdc,2022-01-15T20:51:40.040Z,"10 km ENE of San Clemente, Chile",earthquake,3.4,5.1,0.159,11,reviewed,us,us
